2024,2,14,17,39,44,null,/,null,/
2024,2,14,17,39,47,null,/,null,/
2024,2,14,17,39,47,null,/,null,/
2024,2,14,17,39,48,null,/insertar,null,/insertar
2024,2,14,17,39,48,null,/insertar,null,/insertar
2024,2,14,17,39,49,null,/insertar,null,/insertar
2024,2,14,17,39,50,null,/insertar,null,/insertar
2024,2,14,17,39,50,null,/insertar,null,/insertar
2024,2,14,17,40,26,null,/inserta,null,/inserta
2024,2,14,17,40,46,null,/consultar,null,/consultar
2024,2,14,17,40,49,null,/eliminar,null,/eliminar
2024,2,14,17,40,53,null,/elimina,null,/elimina
2024,2,14,17,40,57,null,/consultar,null,/consultar
2024,2,14,17,41,9,null,/,null,/
2024,2,14,17,41,10,null,/insertar,null,/insertar
2024,2,14,17,41,11,null,/insertar,null,/insertar
2024,2,14,17,41,11,null,/insertar,null,/insertar
2024,2,14,17,41,12,null,/consultar,null,/consultar
2024,2,14,17,41,14,null,/eliminar,null,/eliminar
2024,2,18,19,42,52,null,/,null,/
2024,2,18,19,43,35,null,/insertar,null,/insertar
2024,2,18,19,45,15,null,/inserta,null,/inserta
2024,2,18,19,46,31,null,/insertar,null,/insertar
2024,2,18,19,47,7,null,/consultar,null,/consultar
2024,2,18,19,47,54,null,/eliminar,null,/eliminar
2024,2,18,19,48,52,null,/elimina,null,/elimina
2024,2,18,19,49,22,null,/eliminar,null,/eliminar
2024,2,18,19,49,23,null,/eliminar,null,/eliminar
2024,2,18,19,49,28,null,/elimina,null,/elimina
2024,2,18,19,49,42,null,/,null,/
2024,2,18,19,49,46,null,/consultar,null,/consultar
2024,2,18,19,49,48,null,/consultar,null,/consultar
2024,2,18,19,49,48,null,/insertar,null,/insertar
2024,2,18,19,49,50,null,/insertar,null,/insertar
2024,2,18,19,49,51,null,/insertar,null,/insertar
2024,2,18,19,49,51,null,/insertar,null,/insertar
2024,2,18,19,49,53,null,/eliminar,null,/eliminar
2024,2,18,19,49,54,null,/consultar,null,/consultar
2024,2,18,19,49,55,null,/consultar,null,/consultar
2024,2,18,19,49,55,null,/consultar,null,/consultar
2024,2,18,19,49,55,null,/consultar,null,/consultar
2024,2,18,19,50,0,null,/,null,/
2024,2,18,19,50,1,null,/,null,/
2024,2,18,19,50,1,null,/eliminar,null,/eliminar
2024,2,18,19,50,12,null,/,null,/
2024,2,18,19,50,16,null,/,null,/
2024,2,18,19,50,17,null,/insertar,null,/insertar
2024,2,18,19,50,17,null,/insertar,null,/insertar
2024,2,18,19,50,18,null,/eliminar,null,/eliminar
2024,2,18,19,50,19,null,/eliminar,null,/eliminar
2024,2,18,19,50,19,null,/eliminar,null,/eliminar
2024,2,18,19,50,20,null,/eliminar,null,/eliminar
2024,2,18,19,50,21,null,/consultar,null,/consultar
2024,2,18,19,50,23,null,/eliminar,null,/eliminar
2024,2,18,19,50,24,null,/insertar,null,/insertar
2024,2,18,19,50,31,null,/inserta,null,/inserta
2024,2,18,19,50,38,null,/,null,/
2024,2,18,19,50,50,null,/,null,/
2024,2,18,19,51,15,null,/,null,/
2024,2,18,19,51,18,null,/insertar,null,/insertar
2024,2,18,19,51,19,null,/insertar,null,/insertar
2024,2,18,19,51,26,null,/inserta,null,/inserta
2024,2,18,19,52,58,null,/,null,/
2024,2,18,19,53,2,null,/,null,/
2024,2,18,19,53,35,null,/eliminar,null,/eliminar
2024,2,18,19,53,41,null,/elimina,null,/elimina
2024,2,18,19,54,15,null,/consultar,null,/consultar
2024,2,18,19,54,16,null,/consultar,null,/consultar
2024,2,18,19,54,16,null,/consultar,null,/consultar
2024,2,18,19,54,17,null,/consultar,null,/consultar
2024,2,18,19,54,17,null,/consultar,null,/consultar
2024,2,18,19,54,17,null,/consultar,null,/consultar
2024,2,18,19,54,17,null,/consultar,null,/consultar
2024,2,18,19,54,18,null,/consultar,null,/consultar
2024,2,18,19,54,18,null,/consultar,null,/consultar
2024,2,18,19,55,2,null,/,null,/
2024,2,18,19,55,5,null,/consultar,null,/consultar
2024,2,18,19,55,8,null,/insertar,null,/insertar
2024,2,18,19,55,9,null,/insertar,null,/insertar
2024,2,18,19,55,9,null,/insertar,null,/insertar
2024,2,18,19,55,10,null,/insertar,null,/insertar
2024,2,18,19,55,17,null,/inserta,null,/inserta
2024,2,18,20,28,6,null,/,null,/
2024,2,18,20,28,25,null,/consultar,null,/consultar
2024,2,18,20,28,28,null,/eliminar,null,/eliminar
2024,2,18,20,28,28,null,/eliminar,null,/eliminar
2024,2,18,20,28,29,null,/eliminar,null,/eliminar
2024,2,18,20,28,35,null,/insertar,null,/insertar
2024,2,18,20,28,36,null,/insertar,null,/insertar
2024,2,18,20,28,43,null,/inserta,null,/inserta
2024,2,18,20,28,53,null,/eliminar,null,/eliminar
2024,2,18,20,28,54,null,/eliminar,null,/eliminar
2024,2,18,20,28,58,null,/elimina,null,/elimina
2024,2,18,20,31,9,null,/,null,/
2024,2,18,20,31,56,null,/eliminar,null,/eliminar
2024,2,18,20,32,2,null,/elimina,null,/elimina
2024,2,18,20,32,17,null,/consultar,null,/consultar
2024,2,18,20,32,28,null,/,null,/
2024,2,18,20,32,31,null,/eliminar,null,/eliminar
2024,2,18,20,32,32,null,/eliminar,null,/eliminar
2024,2,18,20,32,37,null,/elimina,null,/elimina
2024,2,18,20,32,41,null,/consultar,null,/consultar
